Observation,TextUrn,Image,Comments
urn:cite:op:TEAM.1,urn:cts:greekLit:tlg0012.tlg001.msA:19.26@ἐ,"urn:cite:hmt:vaimg.VA252RN-0423@0.198,0.2044,0.018,0.021",
urn:cite:op:TEAM.2,urn:cts:greekLit:tlg0012.tlg001.msA:19.26@υ,"urn:cite:hmt:vaimg.VA252RN-0423@0.2136,0.2121,0.0129,0.0105",
urn:cite:op:TEAM.3,urn:cts:greekLit:tlg0012.tlg001.msA:19.26@λ,"urn:cite:hmt:vaimg.VA252RN-0423@0.2254,0.2091,0.017,0.015",
urn:cite:op:TEAM.4,urn:cts:greekLit:tlg0012.tlg001.msA:19.26@α,"urn:cite:hmt:vaimg.VA252RN-0423@0.2394,0.2105,0.017,0.0125",
urn:cite:op:TEAM.5,urn:cts:greekLit:tlg0012.tlg001.msA:19.26@σ,"urn:cite:hmt:vaimg.VA252RN-0423@0.2538,0.2132,0.0155,0.0083",
urn:cite:op:TEAM.6,urn:cts:greekLit:tlg0012.tlg001.msA:19.26@ἐγ,"urn:cite:hmt:vaimg.VA252RN-0423@0.27,0.2016,0.0195,0.0249",
urn:cite:op:TEAM.7,urn:cts:greekLit:tlg0012.tlg001.msA:19.26@γ[2],"urn:cite:hmt:vaimg.VA252RN-0423@0.284,0.2096,0.0151,0.0197",
urn:cite:op:TEAM.8,urn:cts:greekLit:tlg0012.tlg001.msA:19.26@ε[3],"urn:cite:hmt:vaimg.VA252RN-0423@0.2928,0.2088,0.0151,0.0158",
urn:cite:op:TEAM.9,urn:cts:greekLit:tlg0012.tlg001.msA:19.26@ί,"urn:cite:hmt:vaimg.VA252RN-0423@0.3043,0.2069,0.0151,0.0158",
urn:cite:op:TEAM.10,urn:cts:greekLit:tlg0012.tlg001.msA:19.26@ν,"urn:cite:hmt:vaimg.VA252RN-0423@0.3124,0.2102,0.0151,0.0158",
urn:cite:op:TEAM.11,urn:cts:greekLit:tlg0012.tlg001.msA:19.26@ω,"urn:cite:hmt:vaimg.VA252RN-0423@0.3253,0.2107,0.0151,0.0158",
urn:cite:op:TEAM.12,urn:cts:greekLit:tlg0012.tlg001.msA:19.26@ν[2],"urn:cite:hmt:vaimg.VA252RN-0423@0.3382,0.2118,0.0151,0.0158",
urn:cite:op:TEAM.13,urn:cts:greekLit:tlg0012.tlg001.msA:19.26@τ,"urn:cite:hmt:vaimg.VA252RN-0423@0.3478,0.2121,0.0151,0.0158",
urn:cite:op:TEAM.14,urn:cts:greekLit:tlg0012.tlg001.msA:19.26@α[2],"urn:cite:hmt:vaimg.VA252RN-0423@0.3585,0.2121,0.0151,0.0158",
urn:cite:op:TEAM.15,urn:cts:greekLit:tlg0012.tlg001.msA:19.26@ι[2],"urn:cite:hmt:vaimg.VA252RN-0423@0.3684,0.2132,0.0125,0.0158",
urn:cite:op:TEAM.16,urn:cts:greekLit:tlg0012.tlg001.msA:19.26@ἀ[3],"urn:cite:hmt:vaimg.VA252RN-0423@0.3861,0.2094,0.0155,0.0208",
urn:cite:op:TEAM.17,urn:cts:greekLit:tlg0012.tlg001.msA:19.26@ει,"urn:cite:hmt:vaimg.VA252RN-0423@0.3983,0.2099,0.0173,0.0235",
